	torch	dynamo	tensorrt	tvm	korch	einnet	our
h2o	583.5969	305.2832	455.9139	519.0936	731.612	790.2472	189.2485
roco	695.7338	318.9485	472.5503	607.5242	851.1218	1018.086	195.877
keyformer	1103.8482	450.6336	520.1073	740.7938	-1	1422.3223	319.9795
snapkv	588.5703	304.7682	466.5934	512.2075	728.9676	791.7283	189.1349
corm	649.0136	319.943	640.0223	-1	785.513	-1	200.6378
attn	544.6888	286.755	199.491	397.1777	687.6937	667.2986	167.2563
gemma2	661.854	304.9569	254.9128	409.0667	689.9429	852.743	168.8982
