	torch	dynamo	tensorrt	tvm	korch	einnet	our
h2o	13.0206	3.9857	9.0351	11.01	17.5328	19.4686	1.2832
roco	16.4976	4.2166	9.307	13.8078	21.1159	26.3624	1.3682
keyformer	28.0836	7.4102	9.5206	14.4655	-1	34.455	3.3108
snapkv	13.0723	3.9876	9.1805	11.0106	17.4587	19.4752	1.2445
corm	14.9523	4.5183	14.065	-1	19.2119	-1	1.6061
attn	11.8932	3.519	1.7037	7.3001	16.1886	15.8368	0.6031
gemma2	15.4464	3.9606	3.3996	7.7145	16.2602	21.5295	0.6254
