	torch	dynamo	tensorrt	tvm	korch	einnet	our
h2o	17.7348	7.8507	12.9341	14.8878	23.2971	22.6939	1.736
roco	22.0941	8.0922	12.9855	18.6666	27.9648	31.9556	1.8325
keyformer	37.7759	14.683	12.1796	19.3801	-1	42.0009	5.4839
snapkv	17.727	7.8747	12.9182	14.9469	23.2364	35.9122	1.7456
corm	20.8802	9.3128	20.1284	-1	30.4043	-1	2.3932
attn	16.2961	7.2548	2.2574	10.1637	21.586	18.0604	1.2021
gemma2	20.8544	9.2431	5.1369	10.8086	21.5666	39.078	1.1488
